id	baseMean	baseMeanA	baseMeanB	foldChange	log2FoldChange	pval	padj	proximal_genes	left	right
W_97419	1723.64404365369	2715.33736610248	236.104059980499	0.0869520166915376	-3.52363670120617	0.0564920843214019	0.177003130854224	CCNA_02286,CCNA_02285,	2435450	2435475
W_57946	1339.55588492992	2066.41637774924	249.26514570095	0.120626776086847	-3.05137791036926	0.0577909126651783	0.179474659260157	CCNA_01336,CCNA_01335,	1448625	1448650
W_147698	739.674685904202	1174.30274306492	87.7326001631212	0.0747103765883572	-3.74254755569059	0.0586761716149566	0.180977195570699		3692425	3692450
W_67988	2709.32618409404	4208.82249713018	460.081714539841	0.109313641726053	-3.19345464243706	0.0587544511002416	0.181088115027484	CCNA_01583,CCNA_01584,CCNA_03954,	1699675	1699700
W_88622	728.673120812379	1163.05400076714	77.1018008802376	0.0662925374310926	-3.91500971486838	0.0622414310066743	0.187678010678644	CCNA_02064,	2215525	2215550
W_153745	1015.93083079217	1670.57972591731	33.9574881044444	0.0203267689518968	-5.62047528042259	0.0649885611119229	0.192473885901831	CCNA_03681,	3843725	3843750
W_47378	647.074136105887	1037.27440793634	61.7737283602126	0.0595538922849854	-4.0696603878694	0.0678814520877069	0.197630552987107	CCNA_01080,	1184425	1184450
W_58349	627.400390867713	1006.1017093707	59.348413113239	0.0589884825365825	-4.08342289308669	0.0705233920136379	0.202179629135415	CCNA_01344,CCNA_01345,	1458700	1458725
W_57945	1035.54072002401	1587.24861028478	207.978884632864	0.131031070548897	-2.93201914562981	0.0705428126092505	0.202209137415765	CCNA_01335,	1448600	1448625
W_17186	783.462477339534	1286.57286380832	28.7968976363595	0.0223826403046613	-5.48147595999463	0.0733976024087099	0.206947185777117	CCNA_00415,CCNA_00416,	429625	429650
W_88621	2090.48558789072	3277.23030096311	310.368518282133	0.0947045186879062	-3.40042292635026	0.0744199857638324	0.208631753859938	CCNA_02064,	2215500	2215525
W_131477	1165.48539616801	1791.71267991655	226.144470545204	0.126216928126968	-2.98602267833064	0.0749298633694883	0.209528133782166	CCNA_03138,	3286900	3286925
W_153744	857.504834760558	1392.80890400681	54.5487308911819	0.0391645477956502	-4.67430788904967	0.0749472950845945	0.209541431090096	CCNA_03681,	3843700	3843725
W_140778	974.624521573189	1596.81560755877	41.3378925948237	0.0258877057558459	-5.27158907472309	0.0777089818960594	0.214397931024012	CCNA_03338,	3519425	3519450
W_154972	691.329455749812	1073.49713880937	118.077931160474	0.109993708312475	-3.18450709155552	0.0796209708682382	0.217806925494039	CCNA_R0089,	3874400	3874425
W_131441	1434.60876905398	2255.52818959559	203.229638241561	0.0901029032485733	-3.47228259722272	0.0836082120298253	0.224187911460962	CCNA_03986,CCNA_03138,	3286000	3286025
W_24651	812.211218390866	1321.75769104974	47.8915094025532	0.0362331989644167	-4.78654400539222	0.08416931929402	0.225167644754117	CCNA_00587,	616250	616275
W_47382	758.315337632087	1180.22046112281	125.457652396006	0.106300184184784	-3.23378399827945	0.085095396612884	0.226558612586326	CCNA_01080,	1184525	1184550
W_17376	696.546457307743	1122.6181617179	57.4389006925061	0.0511651268892795	-4.28869535622075	0.0858626354755416	0.227886911342282	CCNA_00424,	434375	434400
W_73752	644.785689439977	1017.32450247898	85.9774698814655	0.0845133186824443	-3.56467747224998	0.0915221455462821	0.237410848859137	CCNA_01711,	1843775	1843800
W_29736	716.62489008092	1119.88827308325	111.729815577424	0.0997687164540188	-3.32526867573339	0.0937532158491642	0.241142218566393	CCNA_00686,CCNA_00687,	743375	743400
W_97420	1945.7509459472	3002.94369771035	359.961818302485	0.119869652760038	-3.06046163508619	0.0965852693567589	0.246049374313073	CCNA_02286,	2435475	2435500
W_131442	2086.63102492798	3255.04985775605	334.002775685865	0.102610648156437	-3.28474764420185	0.0976376533035748	0.247791772125091	CCNA_03138,	3286025	3286050
W_24652	1061.77375551555	1732.12143942852	56.2522296461	0.0324759155828355	-4.94448599010015	0.0982274411009073	0.248778122664839	CCNA_00587,	616275	616300
